date,plastic_price,satuan,sumber,metode
2026-01-26,6789,CNY/T,TradingEconomics,highcharts
2026-01-27,6739,CNY/T,TradingEconomics,highcharts
2026-01-28,6831,CNY/T,TradingEconomics,highcharts
2026-01-29,6884,CNY/T,TradingEconomics,highcharts
2026-01-30,6898,CNY/T,TradingEconomics,highcharts
2026-02-02,6794,CNY/T,TradingEconomics,highcharts
2026-02-03,6735,CNY/T,TradingEconomics,highcharts
2026-02-04,6902,CNY/T,TradingEconomics,highcharts
2026-02-05,6823,CNY/T,TradingEconomics,highcharts
2026-02-06,6763,CNY/T,TradingEconomics,highcharts
2026-02-09,6759,CNY/T,TradingEconomics,highcharts
2026-02-10,6750,CNY/T,TradingEconomics,highcharts
2026-02-11,6783,CNY/T,TradingEconomics,highcharts
2026-02-12,6786,CNY/T,TradingEconomics,highcharts
2026-02-13,6681,CNY/T,TradingEconomics,highcharts
2026-02-24,6786,CNY/T,TradingEconomics,highcharts
2026-02-25,6801,CNY/T,TradingEconomics,highcharts
2026-02-26,6737,CNY/T,TradingEconomics,highcharts
2026-02-27,6596,CNY/T,TradingEconomics,highcharts
2026-03-02,6793,CNY/T,TradingEconomics,highcharts
2026-03-03,7093,CNY/T,TradingEconomics,highcharts
2026-03-04,7337,CNY/T,TradingEconomics,highcharts
2026-03-05,7404,CNY/T,TradingEconomics,highcharts
2026-03-06,7495,CNY/T,TradingEconomics,highcharts
2026-03-09,7915,CNY/T,TradingEconomics,highcharts
2026-03-10,7980,CNY/T,TradingEconomics,highcharts
2026-03-11,7906,CNY/T,TradingEconomics,highcharts
2026-03-12,8405,CNY/T,TradingEconomics,highcharts
2026-03-13,8430,CNY/T,TradingEconomics,highcharts
2026-03-16,8632,CNY/T,TradingEconomics,highcharts
2026-03-17,8497,CNY/T,TradingEconomics,highcharts
2026-03-18,8533,CNY/T,TradingEconomics,highcharts
2026-03-19,8902,CNY/T,TradingEconomics,highcharts
2026-03-20,8737,CNY/T,TradingEconomics,highcharts
2026-03-23,9248,CNY/T,TradingEconomics,highcharts
2026-03-24,9098,CNY/T,TradingEconomics,highcharts
2026-03-25,8679,CNY/T,TradingEconomics,highcharts
2026-03-26,8719,CNY/T,TradingEconomics,highcharts
2026-03-27,8801,CNY/T,TradingEconomics,highcharts
2026-03-30,9018,CNY/T,TradingEconomics,highcharts
2026-03-31,8693,CNY/T,TradingEconomics,highcharts
2026-04-01,8559,CNY/T,TradingEconomics,highcharts
2026-04-02,8582,CNY/T,TradingEconomics,highcharts
2026-04-03,8640,CNY/T,TradingEconomics,highcharts
2026-04-07,9225,CNY/T,TradingEconomics,highcharts
2026-04-08,8824,CNY/T,TradingEconomics,highcharts
2026-04-09,8512,CNY/T,TradingEconomics,highcharts
2026-04-10,8479,CNY/T,TradingEconomics,highcharts
2026-04-13,8380,CNY/T,TradingEconomics,highcharts
2026-04-14,8312,CNY/T,TradingEconomics,highcharts
2026-04-15,8054,CNY/T,TradingEconomics,highcharts
2026-04-16,8046,CNY/T,TradingEconomics,highcharts
2026-04-17,8131,CNY/T,TradingEconomics,highcharts
2026-04-20,7968,CNY/T,TradingEconomics,highcharts
2026-04-21,7944,CNY/T,TradingEconomics,highcharts
2026-04-22,8048,CNY/T,TradingEconomics,highcharts
2026-04-23,8112,CNY/T,TradingEconomics,highcharts
2026-04-24,8144,CNY/T,TradingEconomics,highcharts
2026-04-27,8183,CNY/T,TradingEconomics,highcharts
2026-04-28,8283,CNY/T,TradingEconomics,highcharts
2026-04-29,8410,CNY/T,TradingEconomics,highcharts
2026-04-30,8441,CNY/T,TradingEconomics,highcharts
