date,usd_idr
2025-11-24,16639.0
2025-11-25,16645.0
2025-11-26,16633.5
2025-11-27,16614.69921875
2025-11-28,16603.900390625
2025-12-01,16635.0
2025-12-02,16609.0
2025-12-03,16609.900390625
2025-12-04,16594.0
2025-12-05,16654.400390625
2025-12-08,16683.0
2025-12-09,16686.0
2025-12-10,16662.0
2025-12-11,16639.0
2025-12-12,16649.0
2025-12-15,16623.099609375
2025-12-16,16645.80078125
2025-12-17,16644.599609375
2025-12-18,16657.0
2025-12-19,16685.19921875
2025-12-22,16678.5
2025-12-23,16756.400390625
2025-12-24,16735.0
2025-12-26,16753.099609375
2025-12-29,16741.099609375
2025-12-30,16770.0
2025-12-31,16709.0
2026-01-02,16668.0
2026-01-05,16683.0
2026-01-06,16727.19921875
2026-01-07,16742.0
2026-01-08,16753.0
2026-01-09,16805.69921875
2026-01-12,16826.69921875
2026-01-13,16859.400390625
2026-01-14,16840.80078125
2026-01-15,16845.099609375
2026-01-16,16878.900390625
2026-01-19,16876.599609375
2026-01-20,16939.0
2026-01-21,16960.099609375
2026-01-22,16897.0
2026-01-23,16820.0
2026-01-26,16770.0
2026-01-27,16734.0
2026-01-28,16674.69921875
2026-01-29,16722.80078125
2026-01-30,16778.30078125
2026-02-02,16758.400390625
2026-02-03,16758.400390625
2026-02-04,16759.0
2026-02-05,16800.0
2026-02-06,16879.900390625
2026-02-09,16843.5
2026-02-10,16796.0
2026-02-11,16778.0
2026-02-12,16793.900390625
2026-02-13,16809.0
2026-02-16,16826.099609375
2026-02-17,16806.599609375
2026-02-18,16840.0
2026-02-19,16915.30078125
2026-02-20,16887.19921875
2026-02-23,16843.400390625
2026-02-24,16804.30078125
2026-02-25,16816.80078125
2026-02-26,16749.80078125
2026-02-27,16749.0
2026-03-02,16795.0
2026-03-03,16863.0
2026-03-04,16898.099609375
2026-03-05,16865.0
2026-03-06,16913.099609375
2026-03-09,16923.69921875
2026-03-10,16886.0
2026-03-11,16852.0
2026-03-12,16884.0
2026-03-13,16908.0
2026-03-16,16952.099609375
2026-03-17,16953.099609375
2026-03-18,16971.30078125
2026-03-19,17041.69921875
2026-03-20,16915.900390625
2026-03-23,16959.30078125
2026-03-24,16865.099609375
2026-03-25,16797.30078125
2026-03-26,16749.599609375
2026-03-27,16925.0
2026-03-30,16958.0
2026-03-31,16975.400390625
2026-04-01,16936.400390625
2026-04-02,16924.099609375
2026-04-03,16959.0
2026-04-06,16988.0
2026-04-07,17015.30078125
2026-04-08,17027.400390625
2026-04-09,17005.5
2026-04-10,17059.0
2026-04-13,17083.0
2026-04-14,17079.19921875
2026-04-15,17129.0
2026-04-16,17146.099609375
2026-04-17,17123.0
2026-04-20,17133.0
2026-04-21,17123.80078125
2026-04-22,17133.099609375
2026-04-23,17199.5
2026-04-24,17329.0
2026-04-27,17246.0
2026-04-28,17216.0
2026-04-29,17244.0
2026-04-30,17334.19921875
2026-05-01,17311.0
2026-05-02,17345.0
